run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate,evolving_state_enabled,evolving_state_interval_seconds
140,normal_load,both,4,3,43200,7200,300,100,7200,100,0.1,True,7200
141,high_load_high_acuity,baseline,4,3,43200,7200,300,100,7200,100,0.1,True,7200
142,high_load_high_acuity,cockpit_only,4,3,43200,7200,300,100,7200,100,0.1,True,7200
143,high_load_high_acuity,nursta_only,4,3,43200,7200,300,100,7200,100,0.1,True,7200
144,high_load_high_acuity,both,4,3,43200,7200,300,100,7200,100,0.1,True,7200
145,normal_load,baseline,4,4,43200,7200,300,100,7200,100,0.1,True,7200
146,normal_load,cockpit_only,4,4,43200,7200,300,100,7200,100,0.1,True,7200
147,normal_load,nursta_only,4,4,43200,7200,300,100,7200,100,0.1,True,7200
148,normal_load,both,4,4,43200,7200,300,100,7200,100,0.1,True,7200
149,high_load_high_acuity,baseline,4,4,43200,7200,300,100,7200,100,0.1,True,7200
150,high_load_high_acuity,cockpit_only,4,4,43200,7200,300,100,7200,100,0.1,True,7200
151,high_load_high_acuity,nursta_only,4,4,43200,7200,300,100,7200,100,0.1,True,7200
152,high_load_high_acuity,both,4,4,43200,7200,300,100,7200,100,0.1,True,7200
153,normal_load,baseline,4,5,43200,7200,300,100,7200,100,0.1,True,7200
154,normal_load,cockpit_only,4,5,43200,7200,300,100,7200,100,0.1,True,7200
155,normal_load,nursta_only,4,5,43200,7200,300,100,7200,100,0.1,True,7200
156,normal_load,both,4,5,43200,7200,300,100,7200,100,0.1,True,7200
157,high_load_high_acuity,baseline,4,5,43200,7200,300,100,7200,100,0.1,True,7200
158,high_load_high_acuity,cockpit_only,4,5,43200,7200,300,100,7200,100,0.1,True,7200
159,high_load_high_acuity,nursta_only,4,5,43200,7200,300,100,7200,100,0.1,True,7200
160,high_load_high_acuity,both,4,5,43200,7200,300,100,7200,100,0.1,True,7200
161,normal_load,baseline,5,1,43200,7200,300,100,7200,100,0.1,True,7200
162,normal_load,cockpit_only,5,1,43200,7200,300,100,7200,100,0.1,True,7200
163,normal_load,nursta_only,5,1,43200,7200,300,100,7200,100,0.1,True,7200
164,normal_load,both,5,1,43200,7200,300,100,7200,100,0.1,True,7200
165,high_load_high_acuity,baseline,5,1,43200,7200,300,100,7200,100,0.1,True,7200
166,high_load_high_acuity,cockpit_only,5,1,43200,7200,300,100,7200,100,0.1,True,7200
167,high_load_high_acuity,nursta_only,5,1,43200,7200,300,100,7200,100,0.1,True,7200
168,high_load_high_acuity,both,5,1,43200,7200,300,100,7200,100,0.1,True,7200
169,normal_load,baseline,5,2,43200,7200,300,100,7200,100,0.1,True,7200
170,normal_load,cockpit_only,5,2,43200,7200,300,100,7200,100,0.1,True,7200
171,normal_load,nursta_only,5,2,43200,7200,300,100,7200,100,0.1,True,7200
172,normal_load,both,5,2,43200,7200,300,100,7200,100,0.1,True,7200
173,high_load_high_acuity,baseline,5,2,43200,7200,300,100,7200,100,0.1,True,7200
174,high_load_high_acuity,cockpit_only,5,2,43200,7200,300,100,7200,100,0.1,True,7200
