bandwidth_m,split,training_dates,comparison_direction,training_events,held_out_events,observed_half_distance,abm_pooled_distance,abm_matched_median_distance,abm_matched_low,abm_matched_high,global_random_median_distance,global_random_low,global_random_high,zone_random_median_distance,zone_random_low,zone_random_high
1.0,1,2023-12-11;2023-12-12;2023-12-13,average_of_both_held_out_directions,71,288,0.4394976965041049,0.41754825785332234,0.44893990632907277,0.42189098035396105,0.4833215355197966,0.5546266926983994,0.5204867215215166,0.584414641372521,0.5673079448701612,0.5330092352003637,0.5996874620748017
1.0,2,2023-12-11;2023-12-12;2023-12-14,average_of_both_held_out_directions,117,242,0.42933783780239065,0.41095998750635854,0.43144730659863795,0.410008879162075,0.4561281953016073,0.5295759389166574,0.5034675387179495,0.5610360690340632,0.5426787759194003,0.5131845047321638,0.5703925759758948
1.0,3,2023-12-11;2023-12-12;2023-12-15,average_of_both_held_out_directions,165,194,0.41820634909263066,0.40138448234072766,0.4207138475949297,0.39656313412866667,0.4440855579640914,0.5197010075459115,0.4936610131482847,0.546459742031613,0.5409499077815363,0.5144602750716527,0.565155288925611
1.0,4,2023-12-11;2023-12-12;2023-12-16,average_of_both_held_out_directions,159,200,0.41637626629788077,0.3969540600950602,0.41682023479549846,0.3961487230834942,0.43775191703042043,0.5243644427814789,0.4998519020290722,0.5512983946051391,0.5399462524349599,0.5142983145621224,0.5649609099230029
1.0,5,2023-12-11;2023-12-13;2023-12-14,average_of_both_held_out_directions,111,248,0.45177308762916796,0.4252956731178266,0.446029235226374,0.4227957406549587,0.4728909832751756,0.5376670335710987,0.5083906939198999,0.5665802274711649,0.5504755151764802,0.5245956868393192,0.576494503861137
1.0,6,2023-12-11;2023-12-13;2023-12-15,average_of_both_held_out_directions,159,200,0.4220876099872149,0.40127646370518194,0.4213762310871402,0.39949265391596633,0.4448148819928252,0.5232635834742054,0.49822882962624465,0.5522014863692233,0.5420916149809906,0.5147805328729219,0.5710564149967331
1.0,7,2023-12-11;2023-12-13;2023-12-16,average_of_both_held_out_directions,153,206,0.4041236832076568,0.39954436420315737,0.41792845978545307,0.39623403048620637,0.44195947142478564,0.5172675638437833,0.4934801849833073,0.5409882323648127,0.536592321300365,0.5125390848382073,0.5626931359919691
1.0,8,2023-12-11;2023-12-14;2023-12-15,average_of_both_held_out_directions,205,154,0.4554088775119809,0.40538173511880604,0.42248509744924667,0.3989897511104194,0.44286311628575287,0.5307113859125648,0.49971060958029784,0.5555909927909759,0.5437743684966285,0.5208769801705159,0.5704363664059806
1.0,9,2023-12-11;2023-12-14;2023-12-16,average_of_both_held_out_directions,199,160,0.42011314514855147,0.4067499189969377,0.42807908545935364,0.406538101813823,0.4545285831587467,0.5224312835394386,0.4993252704394212,0.5481154012594642,0.5440554180951309,0.5185029155833052,0.5720053701965281
1.0,10,2023-12-11;2023-12-15;2023-12-16,average_of_both_held_out_directions,247,112,0.44200290929697017,0.41271578042414225,0.43539892870811925,0.4106864538943086,0.4559914443921955,0.5375309267153083,0.5123865889090549,0.5652010651333791,0.550886639520789,0.5208398997971172,0.5736848885306988
